p_id,stim,type,rt
5,3,number,242.0531889654549
5,b,letter,266.3676942609956
5,2,number,289.561844202276
5,c,letter,300.54194431213847
5,a,letter,269.74865764383793
5,1,number,255.69597536218018
5,3,number,277.4663007739361
5,b,letter,299.16296505608614
5,2,number,268.14233632412925
5,c,letter,257.86853261245966
5,a,letter,274.4964494701745
5,1,number,277.7177508116635
5,3,number,283.69598427447727
5,b,letter,275.9011176890743
5,2,number,277.8631803453808
5,c,letter,278.79044653661754
5,a,letter,320.01522494862036
5,1,number,258.1987716070944
5,3,number,264.79545399093814
5,b,letter,246.89888958523719
5,2,number,279.04572474186125
5,c,letter,298.47637755418833
5,a,letter,265.48887311433134
5,1,number,260.4807130144353
5,3,number,318.8295484194059
5,b,letter,277.6244197554113
5,2,number,253.32021175447665
5,c,letter,284.0525666131002
5,a,letter,298.1913728868208
5,1,number,251.4210995899927
5,3,number,266.76495105213365
5,b,letter,284.540213218607
5,2,number,326.0545636974096
5,c,letter,296.1747621692083
5,a,letter,316.60135386282707
5,1,number,294.2757675247314
5,3,number,226.12841204428156
5,b,letter,301.74690998778277
5,2,number,233.75098129235755
5,c,letter,269.1991987949118
5,a,letter,290.8711923389429
5,1,number,236.68024750438593
5,3,number,272.69289042043624
5,b,letter,250.43469802815872
5,2,number,310.33440344639
5,c,letter,269.91296573190107
5,a,letter,277.0000807910279
5,1,number,247.6353613932365
5,3,number,257.85429117721964
5,b,letter,256.16792384417363
5,2,number,282.32852865139574
5,c,letter,259.44980976803475
5,a,letter,264.3026287623791
5,1,number,257.4798853063997
5,3,number,277.74878508737265
5,b,letter,284.53302129782605
5,2,number,244.7356534736239
5,c,letter,269.1975794865501
5,a,letter,258.13895802477884
5,1,number,240.01174026357526
5,3,number,287.4886734419965
5,b,letter,255.55484896625524
5,2,number,275.79405324535736
5,c,letter,254.5993214618955
5,a,letter,243.83781351457534
5,1,number,272.18558697310306
5,3,number,265.5397531761462
5,b,letter,296.1111136419149
5,2,number,219.91787592375186
5,c,letter,287.74060214210596
5,a,letter,263.48899936630573
5,1,number,278.582048210427
5,3,number,231.0709284152705
5,b,letter,259.6194960692626
5,2,number,258.5511216564829
5,c,letter,212.71595422259168
5,a,letter,262.89680978147493
5,1,number,278.69786938257226
5,3,number,265.03875934933404
5,b,letter,272.82190742120724
5,2,number,274.2880783069169
5,c,letter,273.3292789736989
5,a,letter,292.64499361655663
5,1,number,277.7600289932572
5,3,number,286.79941990446645
5,b,letter,300.8366063355548
5,2,number,272.42041293656666
5,c,letter,273.14484220805895
5,a,letter,262.1791947771447
5,1,number,294.17577399800183
5,3,number,294.42376560408167
5,b,letter,311.6699380922499
5,2,number,289.92917349685655
5,c,letter,292.0501135528064
5,a,letter,272.4967691703818
5,1,number,224.76765773474438
5,3,number,289.502393446905
5,b,letter,266.1853507162063
5,2,number,282.1201741916457
5,c,letter,286.3009835708628
5,a,letter,245.5044592731073
5,1,number,282.40252012230496
5,3,number,264.29675950347996
5,b,letter,241.35713854529786
5,2,number,263.17143433375446
5,c,letter,277.2951024572145
5,a,letter,277.10038385193536
5,1,number,260.5840821255784
5,3,number,273.0670677373801
5,b,letter,282.689448329062
5,2,number,273.2668761495253
5,c,letter,266.09966753551305
5,a,letter,298.50419462193815
5,1,number,284.2230526077856
5,3,number,239.18186910197238
5,b,letter,291.41379095880836
5,2,number,252.79758601223048
5,c,letter,263.74245826256384
5,a,letter,275.53497410193376
5,1,number,267.8411580057809
5,3,number,305.3868459591151
5,b,letter,250.53625855215822
5,2,number,293.2695188873574
5,c,letter,254.0820100554675
5,a,letter,267.1940068760691
5,1,number,266.92139257904523
