p_id,stim,type,rt
2,2,number,302.19011725961974
2,c,letter,324.06281290030824
2,3,number,258.7328415431271
2,b,letter,249.97019981176084
2,1,number,306.53481396752477
2,a,letter,291.1340831076333
2,2,number,306.7732990565036
2,c,letter,324.8488043088084
2,3,number,283.2651120764887
2,b,letter,237.66753573163086
2,1,number,271.6582956677226
2,a,letter,272.45863716065475
2,2,number,269.92298468547654
2,c,letter,316.0222271216778
2,3,number,306.75377762023066
2,b,letter,291.6169585663706
2,1,number,252.2761762362328
2,a,letter,272.421982514699
2,2,number,302.9460252021132
2,c,letter,248.6429229081717
2,3,number,265.89969208159755
2,b,letter,298.29300444724197
2,1,number,309.9510001667591
2,a,letter,294.80765507005617
2,2,number,293.1249069788729
2,c,letter,241.31487251475602
2,3,number,294.73233333195145
2,b,letter,343.90790474856647
2,1,number,298.4135890582794
2,a,letter,272.2226728909583
2,2,number,326.86576822957164
2,c,letter,304.1865202841009
2,3,number,295.1685048749181
2,b,letter,308.6662513797053
2,1,number,293.4998087975908
2,a,letter,281.7584587385202
2,2,number,295.31448299822307
2,c,letter,291.8456822844422
2,3,number,293.8627607948139
2,b,letter,307.549772272503
2,1,number,258.12163903652515
2,a,letter,316.2842662050295
2,2,number,272.7648766075248
2,c,letter,280.1284920280229
2,3,number,264.01878412015145
2,b,letter,290.5138229208773
2,1,number,254.45674563031545
2,a,letter,275.8038829754271
2,2,number,299.79404615931884
2,c,letter,255.40562223107435
2,3,number,281.3396457740044
2,b,letter,292.86578865333314
2,1,number,259.37733076125136
2,a,letter,320.72633393080594
2,2,number,282.8343484260528
2,c,letter,313.72924635961135
2,3,number,256.8147584680893
2,b,letter,296.83764463669536
2,1,number,334.2791106311736
2,a,letter,283.5293749240557
2,2,number,290.21706411224136
2,c,letter,309.50106615174803
2,3,number,282.83317814218253
2,b,letter,290.05425717386527
2,1,number,302.32236807454984
2,a,letter,306.5056314591164
2,2,number,274.64565933579837
2,c,letter,267.3819821159522
2,3,number,284.25638694359856
2,b,letter,282.0421537489628
2,1,number,284.0884081209991
2,a,letter,298.99476759418314
2,2,number,270.06896202339334
2,c,letter,273.84275690043347
2,3,number,276.7183519548538
2,b,letter,294.4937581471596
2,1,number,297.7623697912989
2,a,letter,268.2835894373498
2,2,number,270.32099760795484
2,c,letter,283.73154334772283
2,3,number,287.6373230362275
2,b,letter,279.62108568735783
2,1,number,293.4776156767151
2,a,letter,311.7851863979213
2,2,number,297.7689421697571
2,c,letter,304.7042199637522
2,3,number,294.94380285405094
2,b,letter,288.83139708857345
2,1,number,260.2589966996743
2,a,letter,316.9515574543463
2,2,number,278.65327572827573
2,c,letter,297.92134457832896
2,3,number,259.7114970860927
2,b,letter,308.9548258086264
2,1,number,230.45907072777166
2,a,letter,310.30190092603755
2,2,number,285.5409978461961
2,c,letter,290.2811545179372
2,3,number,303.047996819457
2,b,letter,251.0152034877615
2,1,number,292.5619682978323
2,a,letter,305.81067168678976
2,2,number,274.05301539659945
2,c,letter,291.31194292289854
2,3,number,254.13613346086453
2,b,letter,294.8527268397837
2,1,number,244.49768384362858
2,a,letter,259.50041087045
2,2,number,268.38244409527107
2,c,letter,285.79663294156023
2,3,number,266.390870660212
2,b,letter,310.8581324118949
2,1,number,296.67301315228104
2,a,letter,235.5052202592161
2,2,number,295.22426840913135
2,c,letter,262.0986764192256
2,3,number,267.5909211896283
2,b,letter,301.3491587248746
2,1,number,268.1540975906286
2,a,letter,309.4353816088718
2,2,number,287.7497909531649
2,c,letter,284.70906100142213
2,3,number,232.8992612860395
2,b,letter,274.1791596220369
2,1,number,318.55662393785263
2,a,letter,277.9323438114581
2,2,number,290.9016790717479
2,c,letter,243.57395874598922
